iter	Passed	Remaining
238	2232	2437
239	2239	2425
240	2246	2414
241	2258	2407
242	2270	2400
243	2276	2388
244	2283	2376
245	2290	2365
246	2302	2358
247	2313	2351
248	2320	2339
249	2327	2327
250	2335	2316
251	2347	2310
252	2362	2306
253	2370	2296
254	2377	2284
255	2384	2272
256	2397	2267
257	2405	2256
258	2414	2247
259	2421	2235
260	2427	2223
261	2434	2211
262	2441	2199
263	2454	2194
264	2464	2185
265	2471	2174
266	2478	2162
267	2485	2151
268	2499	2146
269	2508	2136
270	2516	2126
271	2523	2115
272	2529	2103
273	2537	2092
274	2549	2086
275	2559	2077
276	2566	2066
277	2573	2054
278	2580	2043
279	2587	2032
280	2598	2025
281	2608	2016
282	2615	2005
283	2623	1995
284	2629	1984
285	2640	1975
286	2653	1969
287	2660	1958
288	2667	1947
289	2674	1936
290	2681	1925
291	2692	1918
292	2704	1910
293	2711	1899
294	2718	1888
295	2724	1877
296	2731	1867
297	2743	1860
298	2755	1852
299	2761	1841
300	2769	1830
301	2775	1819
302	2782	1808
303	2794	1801
304	2804	1793
305	2811	1782
306	2817	1771
307	2824	1760
308	2831	1750
309	2845	1744
310	2860	1738
311	2867	1727
312	2874	1717
313	2881	1706
314	2893	1699
315	2900	1688
316	2911	1680
317	2918	1670
318	2925	1659
319	2932	1649
320	2944	1641
321	2952	1632
322	2962	1623
323	2968	1612
324	2975	1602
325	2982	1591
326	2989	1581
327	3002	1574
328	3012	1566
329	3019	1555
330	3026	1545
331	3037	1536
332	3050	1529
333	3056	1519
334	3063	1509
335	3070	1498
336	3077	1488
337	3091	1481
338	3102	1473
339	3109	1463
340	3116	1453
341	3123	1443
342	3130	1432
343	3137	1422
344	3150	1415
345	3159	1406
346	3166	1396
347	3173	1386
348	3180	1376
349	3192	1368
350	3200	1358
351	3209	1349
352	3216	1339
353	3223	1329
354	3230	1319
355	3243	1311
356	3254	1303
357	3261	1293
358	3268	1283
359	3275	1273
360	3282	1263
361	3292	1255
362	3304	1247
363	3311	1237
364	3318	1227
365	3324	1217
366	3332	1207
367	3351	1202
368	3362	1193
369	3369	1183
370	3376	1173
371	3390	1166
372	3400	1157
373	3407	1147
374	3414	1138
375	3421	1128
376	3427	1118
377	3439	1110
378	3448	1101
379	3457	1091
380	3464	1082
381	3471	1072
382	3479	1062
383	3490	1054
384	3499	1045
385	3507	1035
386	3514	1026
387	3521	1016
388	3528	1006
389	3540	998
390	3549	989
391	3557	980
392	3564	970
393	3571	960
394	3578	951
395	3592	943
396	3603	934
397	3610	925
398	3617	915
399	3623	905
400	3630	896
401	3642	888
402	3653	879
403	3660	869
404	3667	860
405	3673	850
406	3688	842
407	3696	833
408	3704	824
409	3711	814
410	3718	805
411	3725	795
412	3737	787
413	3746	778
414	3753	768
415	3760	759
416	3767	749
417	3774	740
418	3786	731
419	3793	722
420	3804	713
421	3810	704
422	3818	695
423	3825	685
424	3838	677
425	3854	669
426	3861	660
427	3869	650
428	3876	641
429	3886	632
430	3897	624
431	3905	614
432	3912	605
433	3919	595
434	3926	586
435	3937	577
436	3949	569
437	3956	560
438	3963	550
439	3970	541
440	3983	532
441	3994	524
442	4001	514
443	4008	505
444	4014	496
445	4021	486
446	4032	478
447	4040	468
448	4050	460
449	4056	450
450	4063	441
451	4070	432
452	4077	423
453	4089	414
454	4099	405
455	4106	396
456	4112	386
457	4119	377
458	4130	368
459	4139	359
460	4150	351
461	4157	341
462	4163	332
463	4171	323
464	4184	314
465	4192	305
466	4201	296
467	4208	287
468	4215	278
469	4223	269
470	4237	260
471	4245	251
472	4252	242
473	4259	233
474	4266	224
475	4275	215
476	4288	206
477	4295	197
478	4302	188
479	4309	179
480	4315	170
481	4323	161
482	4334	152
483	4346	143
484	4361	134
485	4369	125
486	4375	116
487	4390	107
488	4400	98
489	4408	89
490	4414	80
491	4427	71
492	4438	63
493	4445	53
494	4452	44
495	4459	35
496	4466	26
497	4477	17
498	4485	8
499	4496	0
